date,bank_account,account_code,customer_id,amount,forecast,type
2018-01-11 00:00:00,244,Supplier payment,11746,-10,0,SPEND
2018-01-11 00:00:00,244,Supplier payment,11842,-23.2765,0,SPEND
2018-01-11 00:00:00,244,Supplier payment,11540,-3.5,0,SPEND
2018-01-11 00:00:00,244,Customer payment,10706,120.7575,0,RECEIVE
2018-01-11 00:00:00,244,Customer payment,10706,120.7575,0,RECEIVE
2018-01-11 00:00:00,244,Customer payment,10698,245.1725,0,RECEIVE
2018-01-11 00:00:00,244,Customer payment,10702,275.12,0,RECEIVE
2018-01-11 00:00:00,244,Supplier payment,12334,-2.0965,0,SPEND
2018-01-11 00:00:00,244,Supplier payment,12321,-1070.408,0,SPEND
2018-01-11 00:00:00,244,Supplier payment,12437,-1.5125,0,SPEND
2018-01-11 00:00:00,244,Supplier payment,12403,-453.3635,0,SPEND
2018-01-11 00:00:00,244,Supplier payment,12413,-12.5695,0,SPEND
2018-01-11 00:00:00,244,Supplier payment,11811,-1.8,0,SPEND
2018-01-11 00:00:00,244,Supplier payment,11674,-47.759,0,SPEND
2018-01-11 00:00:00,244,Supplier payment,11312,-60.765,0,SPEND
2018-01-11 00:00:00,244,Supplier payment,11565,-17,0,SPEND
2018-01-11 00:00:00,244,Supplier payment,11560,-3.6,0,SPEND
2018-01-11 00:00:00,244,Supplier payment,11490,-108.9,0,SPEND
2018-01-11 00:00:00,244,Supplier payment,11520,-2.1,0,SPEND
2018-01-11 00:00:00,244,Supplier payment,11434,-9,0,SPEND
2018-01-11 00:00:00,244,Supplier payment,11299,-48.7025,0,SPEND
2018-01-11 00:00:00,244,Supplier payment,11719,-5,0,SPEND
2018-01-11 00:00:00,244,Supplier payment,11400,-48.9,0,SPEND
2018-01-11 00:00:00,244,Supplier payment,11453,-7.465,0,SPEND
2018-01-12 00:00:00,244,Customer payment,10706,-24.3335,0,SPEND
2018-01-12 00:00:00,244,Supplier payment,11899,-7.8,0,SPEND
2018-01-12 00:00:00,244,Supplier payment,11900,-12.5,0,SPEND
2018-01-12 00:00:00,244,Supplier payment,11264,-3.279,0,SPEND
2018-01-12 00:00:00,244,Supplier payment,11264,-7.816,0,SPEND
2018-01-12 00:00:00,244,Supplier payment,11423,-5.6265,0,SPEND
2018-01-12 00:00:00,244,Supplier payment,11423,-3.9325,0,SPEND
2018-01-15 00:00:00,244,Miscellaneous,12485,-355.12,0,SPEND
2018-01-15 00:00:00,244,Supplier payment,11877,-81.4025,0,SPEND
2018-01-15 00:00:00,244,Customer payment,10666,809.4125,0,RECEIVE
2018-01-15 00:00:00,244,Customer payment,10694,127.05,0,RECEIVE
2018-01-15 00:00:00,244,Supplier payment,10954,-12.7655,0,SPEND
2018-01-15 00:00:00,244,Supplier payment,11222,-4.355,0,SPEND
2018-01-15 00:00:00,244,Supplier payment,11222,-8.8755,0,SPEND
2018-01-15 00:00:00,244,Miscellaneous,12482,-504.178,0,SPEND
2018-01-15 00:00:00,244,Customer payment,10672,2721.25,0,RECEIVE
2018-01-15 00:00:00,244,Supplier payment,11901,-118.2165,0,SPEND
2018-01-16 00:00:00,244,Supplier payment,11148,-22.141,0,SPEND
2018-01-16 00:00:00,244,Supplier payment,11514,-1527.189,0,SPEND
2018-01-16 00:00:00,244,Customer payment,10671,4511.25,0,RECEIVE
2018-01-16 00:00:00,244,Miscellaneous,12485,-368.2045,0,SPEND
2018-01-17 00:00:00,244,Miscellaneous,12489,693.6325,0,RECEIVE
