date,bank_account,customer_id,account_code,type,amount,organisation,forecast
2018-01-11 00:00:00,244,11560,Supplier payment,SPEND,-3.6,999,0
2018-01-11 00:00:00,244,11490,Supplier payment,SPEND,-108.9,999,0
2018-01-11 00:00:00,244,11520,Supplier payment,SPEND,-2.1,999,0
2018-01-11 00:00:00,244,11540,Supplier payment,SPEND,-3.5,999,0
2018-01-11 00:00:00,244,11811,Supplier payment,SPEND,-1.8,999,0
2018-01-11 00:00:00,244,11746,Supplier payment,SPEND,-10,999,0
2018-01-11 00:00:00,244,11644,Supplier payment,SPEND,-1.1375,999,0
2018-01-11 00:00:00,244,11616,Supplier payment,SPEND,-0.3,999,0
2018-01-11 00:00:00,244,11707,Supplier payment,SPEND,-47.432,999,0
2018-01-11 00:00:00,244,11705,Supplier payment,SPEND,-1.6335,999,0
2018-01-11 00:00:00,244,11726,Supplier payment,SPEND,-2.414,999,0
2018-01-11 00:00:00,244,11819,Supplier payment,SPEND,-10,999,0
2018-01-11 00:00:00,244,11674,Supplier payment,SPEND,-47.759,999,0
2018-01-11 00:00:00,244,11591,Supplier payment,SPEND,-23.15,999,0
2018-01-11 00:00:00,244,11842,Supplier payment,SPEND,-23.2765,999,0
2018-01-11 00:00:00,244,11862,Supplier payment,SPEND,-18.2,999,0
2018-01-11 00:00:00,244,11856,Supplier payment,SPEND,-11,999,0
2018-01-12 00:00:00,244,10706,Customer payment,SPEND,-24.3335,999,0
2018-01-12 00:00:00,244,11899,Supplier payment,SPEND,-7.8,999,0
2018-01-12 00:00:00,244,11900,Supplier payment,SPEND,-12.5,999,0
2018-01-12 00:00:00,244,11264,Supplier payment,SPEND,-3.279,999,0
2018-01-12 00:00:00,244,11264,Supplier payment,SPEND,-7.816,999,0
2018-01-12 00:00:00,244,11423,Supplier payment,SPEND,-5.6265,999,0
2018-01-12 00:00:00,244,11423,Supplier payment,SPEND,-3.9325,999,0
2018-01-16 00:00:00,244,10671,Customer payment,RECEIVE,4511.25,999,0
2018-01-16 00:00:00,244,11514,Supplier payment,SPEND,-1527.189,999,0
2018-01-16 00:00:00,244,11148,Supplier payment,SPEND,-22.141,999,0
2018-01-18 00:00:00,244,12397,Supplier payment,SPEND,-70.1735,999,0
2018-01-18 00:00:00,244,10327,Customer payment,RECEIVE,4642.59,999,0
2018-01-18 00:00:00,244,11417,Supplier payment,SPEND,-75.032,999,0
2018-01-18 00:00:00,244,11810,Supplier payment,SPEND,-6.3,999,0
2018-01-18 00:00:00,244,11806,Supplier payment,SPEND,-2.1,999,0
2018-01-18 00:00:00,244,11803,Supplier payment,SPEND,-28.4645,999,0
2018-01-18 00:00:00,244,11798,Supplier payment,SPEND,-10.7,999,0
