party_id,booking_code,booking_period,invoice_number,invoice_date,due_date,closed_date,remark,currency,amount,tax_amount,company_id,ledger
12214,,2018-11,90957,2018-09-16 00:00:00,2018-10-21 00:00:00,,,EUR,186.8724,0,999,P
12216,,2018-11,90958,2018-09-16 00:00:00,2018-10-21 00:00:00,,,EUR,131.04,0,999,P
12224,,2018-11,90959,2018-09-16 00:00:00,2018-10-21 00:00:00,,,EUR,117,0,999,P
12225,,2018-11,90960,2018-09-16 00:00:00,2018-10-21 00:00:00,,,EUR,70.2,0,999,P
12227,,2018-11,90961,2018-09-16 00:00:00,2018-10-21 00:00:00,,,EUR,81.9,0,999,P
12228,,2018-11,90962,2018-09-16 00:00:00,2018-10-21 00:00:00,,,EUR,67.9536,0,999,P
12232,,2018-11,90963,2018-09-16 00:00:00,2018-10-21 00:00:00,,,EUR,327.6,0,999,P
12235,,2018-11,90964,2018-09-16 00:00:00,2018-10-21 00:00:00,,,EUR,202.6323,0,999,P
12238,,2018-08,90965,2018-06-29 00:00:00,2018-07-29 00:00:00,,,EUR,402.0354,0,999,P
12240,,2018-09,90966,2018-07-25 00:00:00,2018-08-24 00:00:00,,,EUR,814.9752,0,999,P
12240,,2018-10,90967,2018-08-08 00:00:00,2018-09-07 00:00:00,,,EUR,760.9329,0,999,P
12240,,2018-10,90968,2018-09-02 00:00:00,2018-10-01 00:00:00,,,EUR,714.0978,0,999,P
12240,,2018-11,90969,2018-09-16 00:00:00,2018-10-15 00:00:00,,,EUR,102.0708,0,999,P
12248,,2018-11,90970,2018-09-11 00:00:00,2018-10-10 00:00:00,,,EUR,1442.6802,0,999,P
12250,,2018-10,90971,2018-08-20 00:00:00,2018-09-19 00:00:00,,,EUR,295.1325,0,999,P
12250,,2018-08,90972,2018-06-06 00:00:00,2018-07-06 00:00:00,,,EUR,330.408,0,999,P
12251,,2018-10,90973,2018-08-25 00:00:00,2018-09-24 00:00:00,,,EUR,222.3351,0,999,P
12251,,2018-08,90974,2018-06-24 00:00:00,2018-07-24 00:00:00,,,EUR,223.0371,0,999,P
12251,,2018-09,90975,2018-07-25 00:00:00,2018-08-24 00:00:00,,,EUR,220.5099,0,999,P
12252,,2018-11,90976,2018-09-26 00:00:00,2018-10-25 00:00:00,,,EUR,266.76,0,999,P
12252,,2018-11,90977,2018-09-17 00:00:00,2018-10-16 00:00:00,,,EUR,168.48,0,999,P
12257,,2018-11,90978,2018-09-16 00:00:00,2018-10-21 00:00:00,,,EUR,29.7297,0,999,P
12258,,2018-11,90979,2018-09-16 00:00:00,2018-10-21 00:00:00,,,EUR,24.57,0,999,P
12259,,2018-11,90980,2018-09-16 00:00:00,2018-10-21 00:00:00,,,EUR,80.73,0,999,P
